title,uri,type,representative_latitude,representative_longitude,location_precision,
"Temple of Amenhotep, son of Hapu",https://pleiades.stoa.org/places/922752946,tomb,25.72233478468860,32.60338300269490,precise,
Hajjiabad,https://pleiades.stoa.org/places/922656,temple,29.976348,52.926209,precise,
Farrashband 3,https://pleiades.stoa.org/places/922640,temple,28.804273,52.072738,precise,
Naqsh-i Bahram,https://pleiades.stoa.org/places/922683,temple,30.010802,51.587302,precise,
Maqsudabad,https://pleiades.stoa.org/places/922676,temple,29.804928,52.981765,precise,
Farrashband 4,https://pleiades.stoa.org/places/922641,temple,28.788836,52.076168,precise,
Da u Dukhtar,https://pleiades.stoa.org/places/922631,tomb,30.351486,51.347925,precise,
Kazerun,https://pleiades.stoa.org/places/922666,temple,29.618332,51.658333,precise,
Kuh-i Shahrak,https://pleiades.stoa.org/places/922670,temple,30.14414,52.532666,precise,
Naqsh-i Rustam,https://pleiades.stoa.org/places/922685,cemetery,29.98865645840390,52.87460546013770,precise,
Naqsh-i Rajab,https://pleiades.stoa.org/places/922684,sanctuary,29.966486,52.887043,precise,
Gabr-i Mader-i Soleiman,https://pleiades.stoa.org/places/922647,tomb,30.193921048690100,53.167204930742300,precise,
Kunar Siah,https://pleiades.stoa.org/places/922671,temple,28.667917,52.371605,precise,
Darre-ye Barre,https://pleiades.stoa.org/places/922633,temple,29.96008,52.915364,precise,
Chahar Deh,https://pleiades.stoa.org/places/922629,temple,30.31731,50.907919,precise,
Kiratah,https://pleiades.stoa.org/places/922668,temple,28.78026,52.827896,precise,
Gur-i Dukhtar,https://pleiades.stoa.org/places/922652,temple,29.217325,51.633061,precise,
Gur-i Shapur,https://pleiades.stoa.org/places/922653,sanctuary,29.8076618,51.6118028,precise,
Akhur-i Rustam,https://pleiades.stoa.org/places/922612,cemetery,29.86553,52.948606,precise,
Naudaran,https://pleiades.stoa.org/places/922686,temple,28.792266,52.412769,precise,
Kuh-i Ayyub,https://pleiades.stoa.org/places/922669,temple,29.981808,52.666503,precise,
Muk,https://pleiades.stoa.org/places/922681,temple,29.096565,52.655808,precise,
Farrashband 2,https://pleiades.stoa.org/places/922639,temple,28.838576,52.059874,precise,
Farrashband 5,https://pleiades.stoa.org/places/922642,temple,28.772542,52.056444,precise,
Farrashband 1,https://pleiades.stoa.org/places/922638,temple,28.871164,52.066735,precise,
Aktash Burial Ground,https://pleiades.stoa.org/places/922648456,cemetery,45.398822,35.819354,precise,
Pyramid of Djoser,https://pleiades.stoa.org/places/922537087,pyramid,29.870767509750100,31.21664865159870,precise,
Halberg Mithraeum,https://pleiades.stoa.org/places/925825061,sanctuary,49.2224901,7.0278695,precise,
Temple of Athena at Sounion,https://pleiades.stoa.org/places/925825062,temple-2,37.65295914637240,24.027024687309300,precise,
Sanctuary of Phrontis(?),https://pleiades.stoa.org/places/925825063,sanctuary,37.653111,24.02725,precise,
Sanctuary of Eros and Aphrodite,https://pleiades.stoa.org/places/925585578,shrine,37.9722492,23.7270202,precise,
Santa Maria delle Vigne,https://pleiades.stoa.org/places/959754434,church-2,41.654996942180700,12.478097529827600,precise,
Irru,https://pleiades.stoa.org/places/950070777,sanctuary,40.7781256,8.7603749,precise,
Belevi Tumulus,https://pleiades.stoa.org/places/957064614,tumulus,38.014405,27.469106,precise,
