Object ID,Name,place type,Analysis,Information,Entity type,Pleiades,[Location] Long,[Location] Lat,In - Object ID,In - Name,Pleiades,In - [Location] Geometry,Near - Object ID,Near - Name,Pleiades,Near - [Location] Geometry,Alt. name for - Object ID,Name,Pleiades,Alt. name for - [Location] Geometry
10150355,🌍 the Sanctuary of Artemis Brauronia at Brauron (Attica),sanctuary,7,,Place,579879,23.993745937794,37.926230828351,11309268,🌍 Brauron (Attica) a city later incorporated into Athens,579879,"23.993737914219004, 37.926177586233",,,,,,,,
10152263,🌍 the Sanctuary of Apollo Corynthos near Corone (Messenia),sanctuary,2,,Place,570096,21.909984,36.857944,,,,,10126440,🌍 Corone (Messenia) city in Messenia,570371,"21.927944, 36.954171",,,,
10217967,🌍 the Sanctuary of Endymion on Mount Latmos (Caria),sanctuary,1,,Place,,27.583330000000004,37.5,10214999,🌍 Mount Latmos (Caria) mountain in Caria,599753,"27.583330000000004, 37.5",,,,,,,,
10267644,🌍 the Sanctuary of Artemis at Ephesos,sanctuary,4,,Place,873985034,27.363807,37.9497311,8254020,🌍 Ephesos (Asia Minor) city in Asia Minor,599612,"27.339721999999995, 37.941944",,,,,,,,
10270721,🌍 the Sanctuary of Hera at Samos,sanctuary,6,,Place,599641,26.885889352396,37.671923788148,8254131,🌍 Samos (island) island in the Aegean Sea,599926,"26.84, 37.73",,,,,,,,
11289217,🌍 the Sanctuary of Artemis Nemorensis at Aricia (Italy),sanctuary,2,,Place,,12.673347150000001,41.72139965,10158897,🌍 Aricia (Italy) city in Italy,422844,"12.673347150000001, 41.72139965",,,,,,,,
11312731,🌍 the Sanctuary of Aphaia at Aigina,sanctuary,2,,Place,,23.430141,37.7409397,9587597,🌍 Aigina (island) island off Attica,579844,"23.430141, 37.7409397",,,,,,,,
10159724,🌍 the Sanctuary of Amphiaraos near Oropos (Boiotia) near Oropos on the Boiotia-Attica border,sanctuary,4,near Oropos on the Boiotia-Attica border,Place,540628,23.845961998678998,38.291136341897,,,,,10159723,🌍 Oropos (Boiotia) town between Tanagra and Attica,580044,"23.789998499999996, 38.3194635",,,,
10771937,🌍 the Sanctuary of Amphiaraos near Potniai (Boiotia) south of Thebes,sanctuary,4,south of Thebes,Place,,23.311633,38.29991,,,,,10149832,🌍 Potniai (Boiotia) town near Thebes,541070,"23.311633, 38.29991",,,,
11259217,🌍 the Sanctuary of Artemis Alpheiaia near Letrinoi (Elis) unlocated sanctuary at the mouth of the Alpheios River,sanctuary,2,unlocated sanctuary at the mouth of the Alpheios River,Place,,21.431292,37.672865,9878299,🌍 Letrinoi (Elis) city in Elis,570427,"21.431292, 37.672865",,,,,,,,
11306820,🌍 the Sanctuary of Artemis Laphria and Apollo Laphrios at Calydon,sanctuary,2,,Place,,21.5331825,38.372926,8254028,🌍 Calydon (Aitolia) city in Aitolia,540699,"21.5331825, 38.372926",,,,,,,,
10150333,🌍 the Sanctuary of Hilaeira and Phoibe at Sparta,sanctuary,1,,Place,,22.4272985,37.077905,8194308,🌍 Sparta (Laconia) city in Laconia,570685,"22.4272985, 37.077905",,,,,,,,
10152072,🌍 the Sanctuary of Asclepios at Athens along southern face of Acropolis,sanctuary,1,along southern face of Acropolis,Place,954340915,23.7264872,37.9707798,8188815,🌍 Athens (Attica) city in Attica,579885,"23.726268222012, 37.972453602957",,,,,,,,
10192003,🌍 the Sanctuary of Aisymnos at Megara shrine of local Megarian heroes,sanctuary,2,shrine of local Megarian heroes,Place,,23.340163,37.985078,9619397,🌍 Megara (Argolid) city on the Attica-Argolid border,570468,"23.340163, 37.985078",,,,,,,,
